"Date","ConurbanoCases","ConurbanoDeaths","ConurbanoRecoveries","ConurbanoICUActive","ConurbanoICUCases","ConurbanoTotalTests","ConurbanoPositiveTests","AlmiranteBrownCases","AlmiranteBrownDeaths","AlmiranteBrownRecoveries","AlmiranteBrownICUActive","AlmiranteBrownICUCases","AlmiranteBrownTotalTests","AlmiranteBrownPositiveTests","AvellanedaCases","AvellanedaDeaths","AvellanedaRecoveries","AvellanedaICUActive","AvellanedaICUCases","AvellanedaTotalTests","AvellanedaPositiveTests","BerazateguiCases","BerazateguiDeaths","BerazateguiRecoveries","BerazateguiICUActive","BerazateguiICUCases","BerazateguiTotalTests","BerazateguiPositiveTests","BerissoCases","BerissoDeaths","BerissoRecoveries","BerissoICUActive","BerissoICUCases","BerissoTotalTests","BerissoPositiveTests","BrandsenCases","BrandsenDeaths","BrandsenRecoveries","BrandsenICUActive","BrandsenICUCases","BrandsenTotalTests","BrandsenPositiveTests","CampanaCases","CampanaDeaths","CampanaRecoveries","CampanaICUActive","CampanaICUCases","CampanaTotalTests","CampanaPositiveTests","CanuelasCases","CanuelasDeaths","CanuelasRecoveries","CanuelasICUActive","CanuelasICUCases","CanuelasTotalTests","CanuelasPositiveTests","EnsenadaCases","EnsenadaDeaths","EnsenadaRecoveries","EnsenadaICUActive","EnsenadaICUCases","EnsenadaTotalTests","EnsenadaPositiveTests","EscobarCases","EscobarDeaths","EscobarRecoveries","EscobarICUActive","EscobarICUCases","EscobarTotalTests","EscobarPositiveTests","EstebanEcheverriaCases","EstebanEcheverriaDeaths","EstebanEcheverriaRecoveries","EstebanEcheverriaICUActive","EstebanEcheverriaICUCases","EstebanEcheverriaTotalTests","EstebanEcheverriaPositiveTests","ExaltacionDeLaCruzCases","ExaltacionDeLaCruzDeaths","ExaltacionDeLaCruzRecoveries","ExaltacionDeLaCruzICUActive","ExaltacionDeLaCruzICUCases","ExaltacionDeLaCruzTotalTests","ExaltacionDeLaCruzPositiveTests","EzeizaCases","EzeizaDeaths","EzeizaRecoveries","EzeizaICUActive","EzeizaICUCases","EzeizaTotalTests","EzeizaPositiveTests","FlorencioVarelaCases","FlorencioVarelaDeaths","FlorencioVarelaRecoveries","FlorencioVarelaICUActive","FlorencioVarelaICUCases","FlorencioVarelaTotalTests","FlorencioVarelaPositiveTests","GeneralLasHerasCases","GeneralLasHerasDeaths","GeneralLasHerasRecoveries","GeneralLasHerasICUActive","GeneralLasHerasICUCases","GeneralLasHerasTotalTests","GeneralLasHerasPositiveTests","GeneralRodriguezCases","GeneralRodriguezDeaths","GeneralRodriguezRecoveries","GeneralRodriguezICUActive","GeneralRodriguezICUCases","GeneralRodriguezTotalTests","GeneralRodriguezPositiveTests","GeneralSanMartinCases","GeneralSanMartinDeaths","GeneralSanMartinRecoveries","GeneralSanMartinICUActive","GeneralSanMartinICUCases","GeneralSanMartinTotalTests","GeneralSanMartinPositiveTests","HurlinghamCases","HurlinghamDeaths","HurlinghamRecoveries","HurlinghamICUActive","HurlinghamICUCases","HurlinghamTotalTests","HurlinghamPositiveTests","ItuzaingoCases","ItuzaingoDeaths","ItuzaingoRecoveries","ItuzaingoICUActive","ItuzaingoICUCases","ItuzaingoTotalTests","ItuzaingoPositiveTests","JoseCPazCases","JoseCPazDeaths","JoseCPazRecoveries","JoseCPazICUActive","JoseCPazICUCases","JoseCPazTotalTests","JoseCPazPositiveTests","LaMatanzaCases","LaMatanzaDeaths","LaMatanzaRecoveries","LaMatanzaICUActive","LaMatanzaICUCases","LaMatanzaTotalTests","LaMatanzaPositiveTests","LanusCases","LanusDeaths","LanusRecoveries","LanusICUActive","LanusICUCases","LanusTotalTests","LanusPositiveTests","LaPlataCases","LaPlataDeaths","LaPlataRecoveries","LaPlataICUActive","LaPlataICUCases","LaPlataTotalTests","LaPlataPositiveTests","LomasDeZamoraCases","LomasDeZamoraDeaths","LomasDeZamoraRecoveries","LomasDeZamoraICUActive","LomasDeZamoraICUCases","LomasDeZamoraTotalTests","LomasDeZamoraPositiveTests","LujanCases","LujanDeaths","LujanRecoveries","LujanICUActive","LujanICUCases","LujanTotalTests","LujanPositiveTests","MarcosPazCases","MarcosPazDeaths","MarcosPazRecoveries","MarcosPazICUActive","MarcosPazICUCases","MarcosPazTotalTests","MarcosPazPositiveTests","MalvinasArgentinasCases","MalvinasArgentinasDeaths","MalvinasArgentinasRecoveries","MalvinasArgentinasICUActive","MalvinasArgentinasICUCases","MalvinasArgentinasTotalTests","MalvinasArgentinasPositiveTests","MorenoCases","MorenoDeaths","MorenoRecoveries","MorenoICUActive","MorenoICUCases","MorenoTotalTests","MorenoPositiveTests","MerloCases","MerloDeaths","MerloRecoveries","MerloICUActive","MerloICUCases","MerloTotalTests","MerloPositiveTests","MoronCases","MoronDeaths","MoronRecoveries","MoronICUActive","MoronICUCases","MoronTotalTests","MoronPositiveTests","PilarCases","PilarDeaths","PilarRecoveries","PilarICUActive","PilarICUCases","PilarTotalTests","PilarPositiveTests","PresidentePeronCases","PresidentePeronDeaths","PresidentePeronRecoveries","PresidentePeronICUActive","PresidentePeronICUCases","PresidentePeronTotalTests","PresidentePeronPositiveTests","QuilmesCases","QuilmesDeaths","QuilmesRecoveries","QuilmesICUActive","QuilmesICUCases","QuilmesTotalTests","QuilmesPositiveTests","SanFernandoCases","SanFernandoDeaths","SanFernandoRecoveries","SanFernandoICUActive","SanFernandoICUCases","SanFernandoTotalTests","SanFernandoPositiveTests","SanIsidroCases","SanIsidroDeaths","SanIsidroRecoveries","SanIsidroICUActive","SanIsidroICUCases","SanIsidroTotalTests","SanIsidroPositiveTests","SanMiguelCases","SanMiguelDeaths","SanMiguelRecoveries","SanMiguelICUActive","SanMiguelICUCases","SanMiguelTotalTests","SanMiguelPositiveTests","SanVicenteCases","SanVicenteDeaths","SanVicenteRecoveries","SanVicenteICUActive","SanVicenteICUCases","SanVicenteTotalTests","SanVicentePositiveTests","TigreCases","TigreDeaths","TigreRecoveries","TigreICUActive","TigreICUCases","TigreTotalTests","TigrePositiveTests","TresDeFebreroCases","TresDeFebreroDeaths","TresDeFebreroRecoveries","TresDeFebreroICUActive","TresDeFebreroICUCases","TresDeFebreroTotalTests","TresDeFebreroPositiveTests","VicenteLopezCases","VicenteLopezDeaths","VicenteLopezRecoveries","VicenteLopezICUActive","VicenteLopezICUCases","VicenteLopezTotalTests","VicenteLopezPositiveTests","ZarateCases","ZarateDeaths","ZarateRecoveries","ZarateICUActive","ZarateICUCases","ZarateTotalTests","ZaratePositiveTests"
2020-08-15,3900,76,3647,34,3900,0,0,201,0,186,2,3,0,0,169,6,169,0,1,0,0,111,4,111,1,3,0,0,30,0,19,2,2,0,0,10,0,3,0,0,0,0,14,0,12,-1,0,0,0,9,1,7,0,0,0,0,9,0,14,0,0,0,0,57,0,59,0,0,0,0,146,1,120,-2,0,0,0,4,0,7,0,0,0,0,72,0,47,1,1,0,0,144,2,143,1,1,0,0,3,0,6,0,0,0,0,29,0,19,0,0,0,0,190,6,147,1,2,0,0,36,1,49,0,0,0,0,64,0,51,0,0,0,0,41,2,69,1,2,0,0,588,17,558,0,1,0,0,217,7,208,-3,3,0,0,197,-1,184,2,1,0,0,41,0,17,0,0,0,0,13,0,15,0,0,0,0,134,1,83,1,1,0,0,155,3,151,0,0,0,0,153,1,117,-1,1,0,0,119,0,89,-1,0,0,0,61,1,61,-1,0,0,0,24,3,21,1,3,0,0,342,13,349,0,3,0,0,41,0,42,0,0,0,0,82,0,102,1,1,0,0,65,0,72,0,0,0,0,24,0,14,0,0,0,0,102,0,144,1,1,0,0,112,5,91,-2,3,0,0,57,3,58,-1,1,0,0,11,0,12,0,0,0,0,23,0,21,-1,0,0,0
2020-08-16,2740,30,3603,19,2740,6014,2784,200,1,193,1,1,36,24,145,1,167,0,1,103,58,110,1,140,1,1,21,9,17,0,13,-1,0,0,0,12,0,1,0,0,0,0,3,0,5,0,0,0,0,11,0,17,0,0,134,54,16,0,6,0,0,0,0,48,0,43,0,0,167,80,87,1,100,0,0,252,112,5,0,0,0,0,0,0,11,0,40,0,0,25,18,94,2,102,0,1,384,201,0,0,6,0,0,0,0,21,0,27,0,0,134,63,108,2,144,1,2,200,143,22,0,40,0,0,158,65,43,0,48,0,0,0,0,53,0,69,0,0,0,0,405,4,599,-1,0,335,171,116,4,159,0,1,1581,625,143,1,206,-1,0,236,73,27,0,24,0,0,0,0,8,0,15,0,0,0,0,44,0,78,0,0,511,206,122,0,148,1,1,19,4,102,2,111,1,4,65,30,60,1,86,0,0,406,200,73,0,81,0,0,231,53,17,0,28,0,0,4,3,258,2,369,1,2,495,416,39,1,48,0,1,48,38,61,2,91,0,1,364,93,37,0,64,0,0,51,22,14,3,8,0,0,-4,-2,82,0,128,1,1,31,13,62,2,109,1,1,1,1,40,0,60,0,0,26,11,7,0,11,0,0,0,0,17,0,19,1,1,0,0
2020-08-17,2279,53,3245,24,2279,0,0,122,2,178,1,2,0,0,90,3,143,0,1,0,0,39,0,92,0,0,0,0,12,0,14,0,0,0,0,2,0,2,0,0,0,0,11,0,6,0,0,0,0,9,0,6,0,0,0,0,10,0,13,0,0,0,0,24,4,42,0,0,0,0,43,4,82,0,1,0,0,12,0,2,0,0,0,0,49,0,58,0,0,0,0,131,0,118,0,0,0,0,1,0,6,0,0,0,0,10,0,16,0,0,0,0,98,2,157,1,1,0,0,23,1,34,0,0,0,0,16,0,31,0,0,0,0,60,0,77,0,0,0,0,337,18,473,3,6,0,0,153,2,159,-2,1,0,0,120,0,231,-1,-2,0,0,5,1,13,0,1,0,0,15,0,12,1,1,0,0,38,1,86,0,0,0,0,40,3,126,0,0,0,0,77,0,119,1,1,0,0,69,4,99,1,1,0,0,104,1,91,0,2,0,0,23,0,14,0,0,0,0,136,1,245,3,3,0,0,46,2,57,-1,1,0,0,65,2,94,1,2,0,0,46,1,83,1,1,0,0,14,0,8,0,0,0,0,90,1,86,0,0,0,0,75,0,98,0,0,0,0,43,0,49,1,1,0,0,19,0,3,0,0,0,0,2,0,22,0,0,0,0
2020-08-18,4044,120,3066,32,4044,6725,3148,226,2,189,0,0,128,74,121,4,139,1,2,107,64,127,4,87,0,1,38,7,27,4,24,-3,0,0,0,12,0,3,0,0,0,0,32,1,24,0,0,0,0,7,0,16,0,0,177,126,8,0,7,0,0,0,0,64,4,49,-1,0,89,47,144,0,109,0,0,107,51,9,1,3,0,0,0,0,52,2,40,-1,0,113,70,148,4,132,0,1,729,329,18,0,9,0,0,0,0,37,2,20,0,0,75,39,137,1,130,3,4,159,83,63,3,40,-1,0,186,115,60,1,50,1,1,0,0,167,2,85,0,0,0,0,490,16,357,-2,2,292,158,142,5,113,-2,1,1097,423,172,10,162,1,2,224,76,38,2,24,1,1,0,0,17,0,13,0,0,1,0,113,0,86,0,0,1176,522,183,8,85,-2,1,25,9,112,5,82,-1,0,121,45,101,1,66,1,1,606,270,97,3,76,0,1,267,79,22,0,23,0,0,14,10,327,7,307,1,1,295,253,61,0,51,1,1,60,46,120,8,79,2,5,365,138,130,4,80,0,0,234,102,52,1,42,0,0,0,0,147,7,100,-1,0,19,12,106,6,93,0,2,0,0,75,1,44,1,2,21,0,57,0,16,2,3,0,0,23,1,11,0,0,0,0
2020-08-19,3862,197,2922,69,3862,3942,2070,240,4,193,1,2,105,58,136,6,137,0,3,56,34,81,7,81,0,3,12,4,15,0,20,-2,0,0,0,10,0,5,0,0,0,0,40,2,10,0,1,0,0,7,0,15,0,0,32,27,11,0,9,0,1,0,0,46,1,37,-1,0,124,31,176,4,82,0,1,160,106,1,0,3,0,0,0,0,60,0,22,0,0,30,20,145,2,113,1,1,379,171,8,3,-2,0,0,0,0,49,0,19,1,1,108,63,162,6,125,0,4,175,91,51,0,43,3,3,143,100,37,8,31,-1,0,0,0,84,3,48,0,0,0,0,486,70,374,2,16,150,106,160,5,127,2,3,740,276,141,-2,149,0,1,122,43,45,0,28,0,0,0,0,12,0,14,0,0,0,0,172,2,74,-1,1,488,303,101,5,93,0,0,26,13,185,4,128,1,4,61,27,64,13,61,-1,0,215,107,84,3,90,0,1,52,29,36,1,23,0,0,5,3,395,22,284,1,6,288,256,68,4,33,0,0,55,39,107,2,102,0,2,166,45,94,2,58,0,1,188,90,16,1,23,-2,0,0,0,111,10,88,2,7,1,0,118,7,93,2,6,4,4,72,1,55,-1,1,57,24,14,0,21,0,0,0,0,22,1,13,-2,0,0,0
2020-08-20,4466,94,3684,36,4466,4358,2159,231,4,214,1,3,53,38,222,2,203,0,1,93,46,129,2,120,0,0,26,8,26,0,22,0,0,0,0,6,0,7,0,0,0,0,23,1,16,0,1,0,0,27,1,14,0,0,24,8,14,0,8,0,0,0,0,47,0,72,1,1,68,23,157,3,125,0,1,100,52,14,0,11,0,0,1,0,62,1,53,0,0,57,33,134,5,123,0,1,482,200,3,2,10,0,0,0,0,27,0,34,0,0,90,36,206,0,146,2,3,104,79,61,0,49,0,0,157,78,33,2,33,-2,0,1,0,131,1,78,1,1,0,0,665,18,550,0,3,255,119,172,3,185,0,0,812,371,269,7,169,2,5,178,93,39,0,14,0,0,0,0,7,0,12,0,0,0,0,144,7,71,0,0,523,327,171,1,149,0,0,44,18,168,1,135,-1,0,98,38,99,1,92,2,2,217,92,112,0,98,0,1,148,48,23,2,13,-2,0,11,8,354,11,308,2,7,288,237,58,2,56,0,1,45,35,136,1,100,0,0,299,81,104,2,89,0,1,131,63,11,0,10,0,0,0,0,137,2,115,-1,0,10,4,116,8,87,1,2,6,4,86,1,56,2,2,37,20,19,0,19,0,0,0,0,23,3,18,0,0,0,0
2020-08-21,4691,108,3332,46,4691,4497,2339,364,9,257,3,5,50,37,231,7,137,2,6,86,39,143,11,119,0,0,0,0,28,1,22,0,1,0,0,10,0,5,1,1,0,0,32,0,13,1,1,0,0,8,0,8,0,0,59,43,14,0,5,0,0,0,0,56,0,38,1,2,50,30,131,3,118,0,0,174,95,10,0,4,-1,0,0,0,70,0,45,0,0,38,26,173,2,131,0,1,482,222,6,0,7,0,0,0,0,42,-1,19,0,0,97,53,191,0,129,0,0,180,106,52,1,35,0,0,273,159,56,3,35,0,0,0,0,88,9,57,0,1,0,0,537,4,448,0,5,205,104,224,6,135,-1,2,1040,453,239,-3,161,2,-1,74,28,56,4,26,2,2,0,0,21,0,16,0,0,0,0,147,5,88,0,1,383,261,185,3,133,1,1,22,8,154,17,108,-2,0,67,17,94,3,66,2,2,216,96,106,2,93,0,1,129,40,35,0,29,0,0,3,1,459,4,310,1,1,330,251,78,0,47,1,1,52,38,114,2,92,-1,0,229,87,112,2,77,1,3,152,90,37,0,25,1,1,0,0,153,2,108,4,4,37,22,117,3,98,1,2,-1,-1,85,3,63,0,1,70,34,21,2,12,0,0,0,0,12,4,13,0,2,0,0
2020-08-22,4327,66,3193,43,4327,3907,1901,311,5,187,1,2,18,15,141,0,119,0,0,67,34,148,1,82,0,0,33,9,54,1,22,2,3,0,0,2,0,1,0,0,0,0,18,1,13,-1,0,0,0,9,0,7,0,0,196,105,15,0,10,1,1,0,0,50,0,39,0,0,60,21,136,0,103,-1,0,101,49,12,0,5,0,0,0,0,56,0,40,-1,0,59,41,175,1,99,2,2,527,235,7,0,7,0,0,0,0,34,3,26,0,0,38,18,167,2,146,1,2,90,65,52,2,48,2,2,163,102,58,1,29,1,1,0,0,102,1,60,1,1,0,0,597,8,528,1,2,139,68,209,8,107,3,8,1148,500,192,-2,173,-1,0,92,30,49,0,33,0,0,0,0,27,4,12,1,1,0,0,143,0,99,0,0,323,201,182,8,123,1,2,29,16,101,5,88,2,4,5,1,143,5,90,0,2,196,80,100,0,71,1,1,140,45,48,0,23,1,1,0,0,285,0,242,0,0,189,150,72,1,42,0,0,42,26,93,4,83,0,2,103,12,98,1,82,1,1,100,59,65,0,35,0,0,0,0,151,3,151,-1,2,33,18,116,1,83,1,1,2,0,60,1,64,0,2,14,1,22,1,7,0,0,0,0,27,0,14,0,0,0,0
2020-08-23,2477,93,2816,12,2477,2008,1052,107,11,140,-1,0,1,0,88,4,92,0,0,81,38,62,4,91,0,0,0,0,23,0,15,1,1,0,0,-5,0,2,0,0,0,0,17,0,12,0,0,0,0,9,0,12,0,0,93,55,2,0,13,0,0,0,0,59,0,50,0,0,85,58,105,6,118,0,0,85,36,2,0,4,0,0,0,0,18,3,49,-1,0,3,3,61,9,101,-2,1,38,15,0,0,4,0,0,0,0,24,1,23,0,1,41,15,118,0,109,0,0,103,29,25,0,31,0,0,29,19,28,2,46,0,0,0,0,54,0,60,0,0,0,0,382,6,469,-1,0,99,85,101,2,91,-1,1,339,165,122,29,132,0,2,71,36,29,0,26,0,0,0,0,38,1,15,0,0,-3,-2,43,0,85,0,0,81,46,58,0,103,0,0,0,0,76,1,107,-1,1,2,1,70,2,65,0,1,217,114,57,0,53,1,1,132,79,29,0,20,0,0,10,10,277,9,257,-1,0,279,167,42,1,46,0,0,31,27,59,0,55,0,0,124,39,55,1,58,0,0,17,8,19,0,16,1,1,0,0,65,0,72,0,0,0,0,114,1,92,0,1,0,0,27,0,54,1,1,50,9,7,0,10,0,0,0,0,10,0,18,0,0,0,0
2020-08-24,4975,228,3509,41,4975,3400,1637,328,39,182,-3,3,29,13,255,14,141,4,5,47,31,138,8,135,0,1,10,7,22,0,18,0,0,0,0,1,0,7,0,0,0,0,40,0,13,0,0,0,0,6,1,5,0,0,84,42,11,0,6,0,0,0,0,58,7,45,0,1,61,31,115,6,86,0,1,192,116,12,0,7,0,0,0,0,57,4,31,0,1,104,69,197,14,161,-2,1,362,155,11,0,5,0,0,0,0,44,1,29,-1,0,61,31,176,7,127,0,2,52,27,90,1,56,1,1,206,142,61,0,42,0,0,0,0,119,3,67,0,1,0,0,957,27,575,1,6,95,55,105,4,136,0,3,370,163,201,-15,158,-2,-4,200,67,40,0,30,0,0,0,0,23,6,14,-1,1,0,0,151,7,104,-2,0,480,216,250,15,122,-1,0,33,18,159,1,146,4,4,93,37,144,9,107,-1,2,284,127,89,1,92,-1,0,156,9,39,0,32,0,0,7,3,328,34,302,-1,3,207,166,67,1,52,1,1,30,15,186,3,109,0,1,110,38,89,11,51,1,2,104,43,23,2,15,0,0,0,0,147,6,142,1,1,21,15,115,6,97,1,4,1,1,79,1,38,-1,0,1,0,18,2,10,-1,0,0,0,24,2,14,-1,0,0,0
