"Date","ICUBeds","ICUPctNation","ICUPctAMBA"
"2020-06-25",457,"48.3","54.1"
"2020-06-26",472,"48.9","53.7"
"2020-06-27",507,"49.5","54.2"
"2020-06-28",523,"49.8","55.1"
"2020-06-29",535,"50.6","55.9"
"2020-06-30",555,"50.5","55.5"
"2020-07-01",576,"50.6","55.9"
"2020-07-02",594,"50.1","55.7"
"2020-07-03",620,"51","56.3"
"2020-07-04",637,"51.5","57.7"
"2020-07-05",658,"51.4","57.7"
"2020-07-06",676,"51.6","58.8"
"2020-07-07",688,"52","60.3"
"2020-07-08",671,"52.4","59.7"
"2020-07-09",662,"52.4","58.3"
"2020-07-10",686,"51.7","58.3"
"2020-07-11",701,"51.2","58.2"
"2020-07-12",735,"52","59.5"
"2020-07-13",752,"52.7","60.8"
"2020-07-14",772,"52.9","61.3"
"2020-07-15",783,"53.7","63.7"
"2020-07-16",793,"53.9","64"
"2020-07-17",823,"53.7","63.2"
"2020-07-18",824,"54.4","63.9"
"2020-07-19",842,"54.6","65"
"2020-07-20",853,"55.6","65"
"2020-07-21",890,"55.5","65.4"
"2020-07-22",902,"55","64.3"
"2020-07-23",913,"55.4","64"
"2020-07-24",955,"55.5","64.3"
"2020-07-25",980,"54.6","63.3"
"2020-07-26",993,"54.1","62.9"
"2020-07-27",1002,"54.2","63.5"
"2020-07-28",1024,"54.7","64.1"
"2020-07-29",1057,"54.4","63.6"
"2020-07-30",1076,"55.3","64.5"
"2020-07-31",1104,"55.3","65.5"
"2020-08-01",1128,"55.1","64.5"
"2020-08-02",1122,"55.5","65.2"
"2020-08-03",1150,"55.5","65"
"2020-08-04",1207,"56.5","66.4"
"2020-08-05",1219,"56.3","66.1"
"2020-08-06",1245,"56.6","66.5"
"2020-08-07",1293,"56.5","66"
"2020-08-08",1502,"56.3","65.8"
"2020-08-09",1565,"56.8","66.7"
"2020-08-10",1569,"57.3","67.4"
"2020-08-11",1585,"58.2","68.6"
"2020-08-12",1662,"58.3","68.4"
"2020-08-13",1682,"58.3","68.3"
"2020-08-14",1718,"58.9","68.6"
"2020-08-15",1716,"58.6","68.5"
"2020-08-16",1708,"58.6","68.5"
"2020-08-17",1749,"58.2","67.6"
"2020-08-18",1799,"57.7","68.2"
"2020-08-19",1795,"57.8","68.1"
"2020-08-20",1832,"58.6","68.7"
"2020-08-21",1853,"58","67.1"
"2020-08-22",1907,"58.1","67.1"
"2020-08-23",1922,"56.5","64.2"
"2020-08-24",1960,"57.3","64.5"
"2020-08-25",1990,"58.3","66.5"
"2020-08-26",2022,"58.1","66.7"
"2020-08-27",2075,"59.2","66.6"
"2020-08-28",2114,"59.7","67.5"
"2020-08-29",2192,"60.6","68.7"
"2020-08-30",2232,"60.6","68.5"
"2020-08-31",2273,"60.7","68.8"
"2020-09-01",2314,"60.7","69.2"
"2020-09-02",2359,"61.1","68.8"
"2020-09-03",2394,"61.1","68.2"
"2020-09-04",2425,"61.5","68.2"
"2020-09-05",2456,"61.7","67.7"
"2020-09-06",2512,"61.8","68.2"
"2020-09-07",2698,"61.9","67.8"
"2020-09-08",2719,"61.6","67.8"
"2020-09-09",2829,"62.4","69.1"
"2020-09-10",2880,"62.3","69.1"
"2020-09-11",3093,"61.7","68.5"
"2020-09-12",2962,"60.4","68.5"
"2020-09-13",2984,"59.3","68.3"
"2020-09-14",2992,"59.6","68.4"
"2020-09-15",3049,"59.8","68.1"
"2020-09-16",3118,"59.9","68.2"
"2020-09-17",3108,"60.1","67.3"
"2020-09-18",3225,"60","66.8"
"2020-09-19",3213,"59.8","66.1"
"2020-09-20",3261,"60.3","65.9"
"2020-09-21",3387,"60.3","65.5"
"2020-09-22",3362,"60.4","65.9"
"2020-09-23",3511,"60.4","65.6"
"2020-09-24",3527,"61","66"
"2020-09-25",3595,"61.7","66.2"
"2020-09-26",3633,"61.5","66.7"
"2020-09-27",3604,"61.1","65"
"2020-09-28",3678,"61.4","65.1"
"2020-09-29",3768,"61.9","65.8"
"2020-09-30",3792,"61.7","64.7"
"2020-10-01",3799,"61.6","65.2"
"2020-10-02",3828,"61.8","64.7"
"2020-10-03",3820,"61.7","62.9"
"2020-10-04",3950,"61.9","62.8"
"2020-10-05",3978,"62.4","63.1"
"2020-10-06",4007,"62.5","63.8"
"2020-10-07",3997,"62.8","63"
"2020-10-08",4043,"63","63.3"
"2020-10-09",4092,"63.4","64"
"2020-10-10",4200,"63.9","63.3"
"2020-10-11",4237,"63.9","62.8"
"2020-10-12",4287,"64.3","63"
"2020-10-13",4294,"64.2","63.9"
"2020-10-14",4316,"64.1","63.5"
"2020-10-15",4278,"64.4","64.7"
"2020-10-16",4346,"64.5","63.5"
"2020-10-17",4386,"64.2","63.4"
"2020-10-18",4387,"64.2","63.9"
"2020-10-19",4392,"64","63.2"
"2020-10-20",4451,"64","64.3"
"2020-10-21",4573,"64.4","63.1"
"2020-10-22",4611,"64.6","63.6"
"2020-10-23",4696,"63.9","62.4"
"2020-10-24",4850,"63.8","61.8"
"2020-10-25",4863,"63.5","62.4"
"2020-10-26",5038,"64","61.8"
"2020-10-27",4952,"64.4","63"
"2020-10-28",5037,"64.4","62.5"
"2020-10-29",4981,"64.8","62.7"
"2020-10-30",4981,"64.4","61.7"
"2020-10-31",4969,"64.3","61"
"2020-11-01",5119,"63.9","60.6"
"2020-11-02",4922,"63.6","60.5"
"2020-11-03",4854,"63.6","61.5"
"2020-11-04",4816,"61.1","61.2"
"2020-11-05",4713,"60.6","60.4"
"2020-11-06",4666,"59.2","60"
"2020-11-07",4593,"58.3","59.6"
"2020-11-08",4608,"58.1","59.7"
"2020-11-09",4577,"57.8","58.9"
"2020-11-10",4494,"57.7","59.9"
"2020-11-11",4418,"58.3","60.6"
"2020-11-12",4397,"57.8","60.4"
"2020-11-13",4381,"58.3","60.7"
"2020-11-14",4346,"58.1","59.7"
"2020-11-15",4365,"58","59.5"
"2020-11-16",4322,"58.2","59.7"
"2020-11-17",4379,"58.2","60.4"
"2020-11-18",4267,"58","60.5"
"2020-11-19",4292,"57.8","61"
"2020-11-20",4187,"57.6","60.7"
"2020-11-21",4132,"57.3","59.2"
"2020-11-22",4245,"57","59"
"2020-11-23",4166,"57.1","58.6"
"2020-11-24",4148,"57.1","59.2"
"2020-11-25",4039,"57.6","59.1"
"2020-11-26",3960,"56.6","59.2"
"2020-11-27",4120,"56.2","59.2"
"2020-11-28",4021,"56.1","58.7"
"2020-11-29",4013,"56.2","59.8"
"2020-11-30",4062,"56.5","60"
"2020-12-01",3946,"55.9","60.1"
"2020-12-02",3983,"56","60.6"
"2020-12-03",3916,"56","60.4"
"2020-12-04",3929,"55.7","60.2"
"2020-12-05",3757,"55.5","60.2"
"2020-12-06",3735,"55.2","59.5"
"2020-12-07",3723,"54.8","58.9"
"2020-12-08",3715,"54.4","58.2"
"2020-12-09",3688,"54.4","58.4"
"2020-12-10",3665,"54.6","59.2"
"2020-12-11",3620,"55.3","60.1"
"2020-12-12",3594,"54.8","59.2"
"2020-12-13",3537,"54.5","58.3"
"2020-12-14",3478,"54.2","57.9"
"2020-12-15",3475,"54.4","57.7"
"2020-12-16",3443,"54.6","58.3"
"2020-12-17",3471,"54.6","58.8"
"2020-12-18",3434,"54.4","58.4"
"2020-12-19",3452,"54.7","59"
"2020-12-20",3462,"54.4","58.5"
"2020-12-21",3367,"54.2","58.6"
"2020-12-22",3399,"54.1","58.6"
"2020-12-23",3390,"54","58.9"
"2020-12-24",NA,NA,NA
"2020-12-25",NA,NA,NA
"2020-12-26",3262,"52.4","55.8"
"2020-12-27",3313,"52.6","56.2"
"2020-12-28",3319,"52.6","55.5"
"2020-12-29",3345,"53.2","56.8"
"2020-12-30",3440,"53.3","57"
"2020-12-31",NA,NA,NA
"2021-01-01",NA,NA,NA
"2021-01-02",3438,"52.9","56.9"
"2021-01-03",3433,"53.0","56.8"
"2021-01-04",3502,"53.3","57.3"
"2021-01-05",3460,"54.0","58.1"
"2021-01-06",3521,"54.3","58.5"
"2021-01-07",3559,"54.7","59.6"
"2021-01-08",3602,"54.9","59.1"
"2021-01-09",3597,"55.1","59.2"
"2021-01-10",3612,"54.5","58.4"
"2021-01-11",3606,"54.6","58.8"
"2021-01-12",3619,"54.9","59.1"
"2021-01-13",3636,"55.9","59.3"
"2021-01-14",3634,"55.2","59.9"
"2021-01-15",3578,"53.7","58.9"
"2021-01-16",3578,"54","59"
"2021-01-17",3547,"53.8","59"
"2021-01-18",3564,"53.8","59.1"
"2021-01-19",3562,"54.5","60.1"
"2021-01-20",3605,"55","61.1"
"2021-01-21",3616,"54.8","61.5"
"2021-01-22",3631,"55","61.4"
"2021-01-23",3618,"54.6","60.3"
"2021-01-24",3619,"54.3","59.9"
"2021-01-25",3598,"54.6","60.4"
"2021-01-26",3614,"55","61.1"
"2021-01-27",3627,"55.8","62.1"
"2021-01-28",3607,"55.3","62"
"2021-01-29",3628,"54.9","61.5"
"2021-01-30",3624,"54.7","61.1"
"2021-01-31",3617,"54.5","60.7"
"2021-02-01",3554,"54.9","61.1"
"2021-02-02",3586,"54.4","60.7"
"2021-02-03",3571,"54.8","61.4"
"2021-02-04",3570,"54.7","61.2"
"2021-02-05",3550,"55.4","61.1"
"2021-02-06",3550,"54.8","60.4"
"2021-02-07",3550,"54.8","59.8"
"2021-02-08",3526,"54.5","60.2"
"2021-02-09",3553,"54.5","60.2"
"2021-02-10",3561,"54.5","59.7"
"2021-02-11",3541,"54.5","59.1"
"2021-02-12",3538,"54.6","59.8"
"2021-02-13",3514,"54.7","59.9"
"2021-02-14",3547,"54.6","59.9"
"2021-02-15",3538,"54.2","58.8"
"2021-02-16",3581,"54.2","59.0"
"2021-02-17",3573,"53.8","58.7"
"2021-02-19",3608,"54.2","59.3"
"2021-02-20",3605,"54.2","59.3"
"2021-02-21",3605,"54.3","59.6"
"2021-02-22",3550,"54.2","60.0"
"2021-02-23",3529,"54.3","60.2"
"2021-02-24",3504,"54.0","60.0"
"2021-02-25",3467,"54.1","60.2"
"2021-02-26",3475,"54.1","60.2"
"2021-03-05",3485,"53.9","59.3"
"2021-03-06",3475,"54.2","59.7"
"2021-03-07",NA,NA,NA
"2021-03-08",3484,"54.5","59.5"
"2021-03-09",3525,"54.5","60.1"
"2021-03-10",3491,"54.2","59.4"
"2021-03-11",3438,"54.5","60.0"
"2021-03-12",3417,"54.6","60.0"
"2021-03-13",3454,"54.6","60.0"
"2021-03-14",3479,"54.2","59.4"
"2021-03-15",3469,"54.2","58.6"
"2021-03-16",3469,"54.6","59.4"
"2021-03-17",3485,"55.1","59.8"
"2021-03-18",3522,"55.9","61.5"
"2021-03-19",3534,"55.2","60.8"
"2021-03-20",3534,"55.2","60.7"
"2021-03-21",3534,"54.9","59.9"
"2021-03-22",3530,"55.0","58.1"
"2021-03-23",3591,"55.2","58.5"
"2021-03-24",3574,"55.7","59.2"
"2021-03-25",3585,"54.9","57.8"
"2021-03-26",3508,"55.1","58.6"
"2021-03-27",3506,"55.5","59.9"
"2021-03-28",NA,NA,NA
"2021-03-29",3639,"55.6","60.3"
"2021-03-30",3702,"56.0","61.0"
"2021-03-31",3638,"55.9","61.5"
"2021-04-01",3639,"55.8","61.6"
"2021-04-02",3619,"55.9","61.9"
"2021-04-03",3618,"55.4","61.4"
"2021-04-04",3626,"55.6","61.5"
"2021-04-05",3652,"56.1","62.0"
"2021-04-06",3642,"57.4","63.5"
"2021-04-07",3706,"58.1","64.5"
"2021-04-08",3742,"58.8","66.1"
"2021-04-09",3718,"59.1","67.0"
"2021-04-10",3761,"59.3","68.1"
"2021-04-11",3789,"58.7","66.7"
"2021-04-12",3819,"60.3","67.9"
"2021-04-13",3836,"62.4","70.8"
"2021-04-14",3879,"62.7","71.4"
"2021-04-15",3900,"63.6","72.5"
