"Date","AlmiranteBrownCases","AlmiranteBrownDeaths","AlmiranteBrownRecoveries","AlmiranteBrownICUActive","AlmiranteBrownICUCases","AlmiranteBrownTotalTests","AlmiranteBrownPositiveTests","AvellanedaCases","AvellanedaDeaths","AvellanedaRecoveries","AvellanedaICUActive","AvellanedaICUCases","AvellanedaTotalTests","AvellanedaPositiveTests","BerazateguiCases","BerazateguiDeaths","BerazateguiRecoveries","BerazateguiICUActive","BerazateguiICUCases","BerazateguiTotalTests","BerazateguiPositiveTests","BerissoCases","BerissoDeaths","BerissoRecoveries","BerissoICUActive","BerissoICUCases","BerissoTotalTests","BerissoPositiveTests","BrandsenCases","BrandsenDeaths","BrandsenRecoveries","BrandsenICUActive","BrandsenICUCases","BrandsenTotalTests","BrandsenPositiveTests","CampanaCases","CampanaDeaths","CampanaRecoveries","CampanaICUActive","CampanaICUCases","CampanaTotalTests","CampanaPositiveTests","CanuelasCases","CanuelasDeaths","CanuelasRecoveries","CanuelasICUActive","CanuelasICUCases","CanuelasTotalTests","CanuelasPositiveTests","EnsenadaCases","EnsenadaDeaths","EnsenadaRecoveries","EnsenadaICUActive","EnsenadaICUCases","EnsenadaTotalTests","EnsenadaPositiveTests","EscobarCases","EscobarDeaths","EscobarRecoveries","EscobarICUActive","EscobarICUCases","EscobarTotalTests","EscobarPositiveTests","EstebanEcheverriaCases","EstebanEcheverriaDeaths","EstebanEcheverriaRecoveries","EstebanEcheverriaICUActive","EstebanEcheverriaICUCases","EstebanEcheverriaTotalTests","EstebanEcheverriaPositiveTests","ExaltacionDeLaCruzCases","ExaltacionDeLaCruzDeaths","ExaltacionDeLaCruzRecoveries","ExaltacionDeLaCruzICUActive","ExaltacionDeLaCruzICUCases","ExaltacionDeLaCruzTotalTests","ExaltacionDeLaCruzPositiveTests","EzeizaCases","EzeizaDeaths","EzeizaRecoveries","EzeizaICUActive","EzeizaICUCases","EzeizaTotalTests","EzeizaPositiveTests","FlorencioVarelaCases","FlorencioVarelaDeaths","FlorencioVarelaRecoveries","FlorencioVarelaICUActive","FlorencioVarelaICUCases","FlorencioVarelaTotalTests","FlorencioVarelaPositiveTests","GeneralLasHerasCases","GeneralLasHerasDeaths","GeneralLasHerasRecoveries","GeneralLasHerasICUActive","GeneralLasHerasICUCases","GeneralLasHerasTotalTests","GeneralLasHerasPositiveTests","GeneralRodriguezCases","GeneralRodriguezDeaths","GeneralRodriguezRecoveries","GeneralRodriguezICUActive","GeneralRodriguezICUCases","GeneralRodriguezTotalTests","GeneralRodriguezPositiveTests","GeneralSanMartinCases","GeneralSanMartinDeaths","GeneralSanMartinRecoveries","GeneralSanMartinICUActive","GeneralSanMartinICUCases","GeneralSanMartinTotalTests","GeneralSanMartinPositiveTests","HurlinghamCases","HurlinghamDeaths","HurlinghamRecoveries","HurlinghamICUActive","HurlinghamICUCases","HurlinghamTotalTests","HurlinghamPositiveTests","ItuzaingoCases","ItuzaingoDeaths","ItuzaingoRecoveries","ItuzaingoICUActive","ItuzaingoICUCases","ItuzaingoTotalTests","ItuzaingoPositiveTests","JoseCPazCases","JoseCPazDeaths","JoseCPazRecoveries","JoseCPazICUActive","JoseCPazICUCases","JoseCPazTotalTests","JoseCPazPositiveTests","LaMatanzaCases","LaMatanzaDeaths","LaMatanzaRecoveries","LaMatanzaICUActive","LaMatanzaICUCases","LaMatanzaTotalTests","LaMatanzaPositiveTests","LanusCases","LanusDeaths","LanusRecoveries","LanusICUActive","LanusICUCases","LanusTotalTests","LanusPositiveTests","LaPlataCases","LaPlataDeaths","LaPlataRecoveries","LaPlataICUActive","LaPlataICUCases","LaPlataTotalTests","LaPlataPositiveTests","LomasDeZamoraCases","LomasDeZamoraDeaths","LomasDeZamoraRecoveries","LomasDeZamoraICUActive","LomasDeZamoraICUCases","LomasDeZamoraTotalTests","LomasDeZamoraPositiveTests","LujanCases","LujanDeaths","LujanRecoveries","LujanICUActive","LujanICUCases","LujanTotalTests","LujanPositiveTests","MarcosPazCases","MarcosPazDeaths","MarcosPazRecoveries","MarcosPazICUActive","MarcosPazICUCases","MarcosPazTotalTests","MarcosPazPositiveTests","MalvinasArgentinasCases","MalvinasArgentinasDeaths","MalvinasArgentinasRecoveries","MalvinasArgentinasICUActive","MalvinasArgentinasICUCases","MalvinasArgentinasTotalTests","MalvinasArgentinasPositiveTests","MorenoCases","MorenoDeaths","MorenoRecoveries","MorenoICUActive","MorenoICUCases","MorenoTotalTests","MorenoPositiveTests","MerloCases","MerloDeaths","MerloRecoveries","MerloICUActive","MerloICUCases","MerloTotalTests","MerloPositiveTests","MoronCases","MoronDeaths","MoronRecoveries","MoronICUActive","MoronICUCases","MoronTotalTests","MoronPositiveTests","PilarCases","PilarDeaths","PilarRecoveries","PilarICUActive","PilarICUCases","PilarTotalTests","PilarPositiveTests","PresidentePeronCases","PresidentePeronDeaths","PresidentePeronRecoveries","PresidentePeronICUActive","PresidentePeronICUCases","PresidentePeronTotalTests","PresidentePeronPositiveTests","QuilmesCases","QuilmesDeaths","QuilmesRecoveries","QuilmesICUActive","QuilmesICUCases","QuilmesTotalTests","QuilmesPositiveTests","SanFernandoCases","SanFernandoDeaths","SanFernandoRecoveries","SanFernandoICUActive","SanFernandoICUCases","SanFernandoTotalTests","SanFernandoPositiveTests","SanIsidroCases","SanIsidroDeaths","SanIsidroRecoveries","SanIsidroICUActive","SanIsidroICUCases","SanIsidroTotalTests","SanIsidroPositiveTests","SanMiguelCases","SanMiguelDeaths","SanMiguelRecoveries","SanMiguelICUActive","SanMiguelICUCases","SanMiguelTotalTests","SanMiguelPositiveTests","SanVicenteCases","SanVicenteDeaths","SanVicenteRecoveries","SanVicenteICUActive","SanVicenteICUCases","SanVicenteTotalTests","SanVicentePositiveTests","TigreCases","TigreDeaths","TigreRecoveries","TigreICUActive","TigreICUCases","TigreTotalTests","TigrePositiveTests","TresDeFebreroCases","TresDeFebreroDeaths","TresDeFebreroRecoveries","TresDeFebreroICUActive","TresDeFebreroICUCases","TresDeFebreroTotalTests","TresDeFebreroPositiveTests","VicenteLopezCases","VicenteLopezDeaths","VicenteLopezRecoveries","VicenteLopezICUActive","VicenteLopezICUCases","VicenteLopezTotalTests","VicenteLopezPositiveTests","ZarateCases","ZarateDeaths","ZarateRecoveries","ZarateICUActive","ZarateICUCases","ZarateTotalTests","ZaratePositiveTests"
"2020-08-14","8109","158","6151","25","67","691","434","7977","145","6026","24","92","4176","1782","4866","99","3944","9","56","230","83","828","12","617","8","16","2","1","191","2","59","1","1","8","0","582","15","416","6","18","63","11","622","9","460","0","3","893","499","436","3","338","1","5","0","0","2282","58","1672","11","42","3321","1109","4751","64","3315","10","41","2513","1170","219","6","183","3","6","19","2","2099","34","1550","8","30","980","511","5961","94","4539","25","73","24316","9816","196","2","140","0","2","0","0","1020","7","780","4","7","788","286","7904","181","5635","50","125","7486","4221","2287","21","1823","9","17","10691","4660","1935","35","1389","14","26","15","5","2952","60","2166","9","28","510","227","24786","429","18412","91","230","8065","4274","5963","78","4238","59","109","43535","15549","9546","225","6661","57","133","2069","1106","1026","18","795","5","20","5","1","798","12","614","1","4","7","6","3121","71","1902","22","60","21641","6638","5661","63","4314","20","43","305","203","6026","66","4329","34","64","3017","961","4159","81","3014","23","47","20015","8198","2446","38","1855","22","46","4799","1448","988","7","763","12","18","140","127","12402","215","9536","30","102","10187","5874","2655","62","1789","25","47","639","429","4804","97","3656","16","69","1953","1153","3638","92","2810","15","47","1580","791","695","13","566","3","12","9","4","4561","65","3287","20","47","639","222","6133","135","4561","29","80","52","30","2925","72","2027","21","60","932","193","623","13","463","4","8","0","0","1248","9","1026","5","12","0","0"
"2020-08-15","8310","158","6337","27","70","691","434","8146","151","6195","24","93","4176","1782","4977","103","4055","10","59","230","83","858","12","636","10","18","2","1","201","2","62","1","1","8","0","596","15","428","5","18","63","11","631","10","467","0","3","893","499","445","3","352","1","5","0","0","2339","58","1731","11","42","3321","1109","4897","65","3435","8","41","2513","1170","223","6","190","3","6","19","2","2171","34","1597","9","31","980","511","6105","96","4682","26","74","24316","9816","199","2","146","0","2","0","0","1049","7","799","4","7","788","286","8094","187","5782","51","127","7486","4221","2323","22","1872","9","17","10691","4660","1999","35","1440","14","26","15","5","2993","62","2235","10","30","510","227","25374","446","18970","91","231","8065","4274","6180","85","4446","56","112","43535","15549","9743","224","6845","59","134","2069","1106","1067","18","812","5","20","5","1","811","12","629","1","4","7","6","3255","72","1985","23","61","21641","6638","5816","66","4465","20","43","305","203","6179","67","4446","33","65","3017","961","4278","81","3103","22","47","20015","8198","2507","39","1916","21","46","4799","1448","1012","10","784","13","21","140","127","12744","228","9885","30","105","10187","5874","2696","62","1831","25","47","639","429","4886","97","3758","17","70","1953","1153","3703","92","2882","15","47","1580","791","719","13","580","3","12","9","4","4663","65","3431","21","48","639","222","6245","140","4652","27","83","52","30","2982","75","2085","20","61","932","193","634","13","475","4","8","0","0","1271","9","1047","4","12","0","0"
"2020-08-16","8510","159","6530","28","71","727","458","8291","152","6362","24","94","4279","1840","5087","104","4195","11","60","251","92","875","12","649","9","18","2","1","213","2","63","1","1","8","0","599","15","433","5","18","63","11","642","10","484","0","3","1027","553","461","3","358","1","5","0","0","2387","58","1774","11","42","3488","1189","4984","66","3535","8","41","2765","1282","228","6","190","3","6","19","2","2182","34","1637","9","31","1005","529","6199","98","4784","26","75","24700","10017","199","2","152","0","2","0","0","1070","7","826","4","7","922","349","8202","189","5926","52","129","7686","4364","2345","22","1912","9","17","10849","4725","2042","35","1488","14","26","15","5","3046","62","2304","10","30","510","227","25779","450","19569","90","231","8400","4445","6296","89","4605","56","113","45116","16174","9886","225","7051","58","134","2305","1179","1094","18","836","5","20","5","1","819","12","644","1","4","7","6","3299","72","2063","23","61","22152","6844","5938","66","4613","21","44","324","207","6281","69","4557","34","69","3082","991","4338","82","3189","22","47","20421","8398","2580","39","1997","21","46","5030","1501","1029","10","812","13","21","144","130","13002","230","10254","31","107","10682","6290","2735","63","1879","25","48","687","467","4947","99","3849","17","71","2317","1246","3740","92","2946","15","47","1631","813","733","16","588","3","12","5","2","4745","65","3559","22","49","670","235","6307","142","4761","28","84","53","31","3022","75","2145","20","61","958","204","641","13","486","4","8","0","0","1288","9","1066","5","13","0","0"
"2020-08-17","8632","161","6708","29","73","727","458","8381","155","6505","24","95","4279","1840","5126","104","4287","11","60","251","92","887","12","663","9","18","2","1","215","2","65","1","1","8","0","610","15","439","5","18","63","11","651","10","490","0","3","1027","553","471","3","371","1","5","0","0","2411","62","1816","11","42","3488","1189","5027","70","3617","8","42","2765","1282","240","6","192","3","6","19","2","2231","34","1695","9","31","1005","529","6330","98","4902","26","75","24700","10017","200","2","158","0","2","0","0","1080","7","842","4","7","922","349","8300","191","6083","53","130","7686","4364","2368","23","1946","9","17","10849","4725","2058","35","1519","14","26","15","5","3106","62","2381","10","30","510","227","26116","468","20042","93","237","8400","4445","6449","91","4764","54","114","45116","16174","10006","225","7282","57","132","2305","1179","1099","19","849","5","21","5","1","834","12","656","2","5","7","6","3337","73","2149","23","61","22152","6844","5978","69","4739","21","44","324","207","6358","69","4676","35","70","3082","991","4407","86","3288","23","48","20421","8398","2684","40","2088","21","48","5030","1501","1052","10","826","13","21","144","130","13138","231","10499","34","110","10682","6290","2781","65","1936","24","49","687","467","5012","101","3943","18","73","2317","1246","3786","93","3029","16","48","1631","813","747","16","596","3","12","5","2","4835","66","3645","22","49","670","235","6382","142","4859","28","84","53","31","3065","75","2194","21","62","958","204","660","13","489","4","8","0","0","1290","9","1088","5","13","0","0"
"2020-08-18","8858","163","6897","29","73","855","532","8502","159","6644","25","97","4386","1904","5253","108","4374","11","61","289","99","914","16","687","6","18","2","1","227","2","68","1","1","8","0","642","16","463","5","18","63","11","658","10","506","0","3","1204","679","479","3","378","1","5","0","0","2475","66","1865","10","42","3577","1236","5171","70","3726","8","42","2872","1333","249","7","195","3","6","19","2","2283","36","1735","8","31","1118","599","6478","102","5034","26","76","25429","10346","218","2","167","0","2","0","0","1117","9","862","4","7","997","388","8437","192","6213","56","134","7845","4447","2431","26","1986","8","17","11035","4840","2118","36","1569","15","27","15","5","3273","64","2466","10","30","510","227","26606","484","20399","91","239","8692","4603","6591","96","4877","52","115","46213","16597","10178","235","7444","58","134","2529","1255","1137","21","873","6","22","5","1","851","12","669","2","5","8","6","3450","73","2235","23","61","23328","7366","6161","77","4824","19","45","349","216","6470","74","4758","34","70","3203","1036","4508","87","3354","24","49","21027","8668","2781","43","2164","21","49","5297","1580","1074","10","849","13","21","158","140","13465","238","10806","35","111","10977","6543","2842","65","1987","25","50","747","513","5132","109","4022","20","78","2682","1384","3916","97","3109","16","48","1865","915","799","17","638","3","12","5","2","4982","73","3745","21","49","689","247","6488","148","4952","28","86","53","31","3140","76","2238","22","64","979","204","717","13","505","6","11","0","0","1313","10","1099","5","13","0","0"
"2020-08-19","9098","167","7090","30","75","960","590","8638","165","6781","25","100","4442","1938","5334","115","4455","11","64","301","103","929","16","707","4","18","2","1","237","2","73","1","1","8","0","682","18","473","5","19","63","11","665","10","521","0","3","1236","706","490","3","387","1","6","0","0","2521","67","1902","9","42","3701","1267","5347","74","3808","8","43","3032","1439","250","7","198","3","6","19","2","2343","36","1757","8","31","1148","619","6623","104","5147","27","77","25808","10517","226","5","165","0","2","0","0","1166","9","881","5","8","1105","451","8599","198","6338","56","138","8020","4538","2482","26","2029","11","20","11178","4940","2155","44","1600","14","27","15","5","3357","67","2514","10","30","510","227","27092","554","20773","93","255","8842","4709","6751","101","5004","54","118","46953","16873","10319","233","7593","58","135","2651","1298","1182","21","901","6","22","5","1","863","12","683","2","5","8","6","3622","75","2309","22","62","23816","7669","6262","82","4917","19","45","375","229","6655","78","4886","35","74","3264","1063","4572","100","3415","23","49","21242","8775","2865","46","2254","21","50","5349","1609","1110","11","872","13","21","163","143","13860","260","11090","36","117","11265","6799","2910","69","2020","25","50","802","552","5239","111","4124","20","80","2848","1429","4010","99","3167","16","49","2053","1005","815","18","661","1","12","5","2","5093","83","3833","23","56","690","247","6606","155","5045","30","92","57","35","3212","77","2293","21","65","1036","228","731","13","526","6","11","0","0","1335","11","1112","3","13","0","0"
"2020-08-20","9329","171","7304","31","78","1013","628","8860","167","6984","25","101","4535","1984","5463","117","4575","11","64","327","111","955","16","729","4","18","2","1","243","2","80","1","1","8","0","705","19","489","5","20","63","11","692","11","535","0","3","1260","714","504","3","395","1","6","0","0","2568","67","1974","10","43","3769","1290","5504","77","3933","8","44","3132","1491","264","7","209","3","6","20","2","2405","37","1810","8","31","1205","652","6757","109","5270","27","78","26290","10717","229","7","175","0","2","0","0","1193","9","915","5","8","1195","487","8805","198","6484","58","141","8124","4617","2543","26","2078","11","20","11335","5018","2188","46","1633","12","27","16","5","3488","68","2592","11","31","510","227","27757","572","21323","93","258","9097","4828","6923","104","5189","54","118","47765","17244","10588","240","7762","60","140","2829","1391","1221","21","915","6","22","5","1","870","12","695","2","5","8","6","3766","82","2380","22","62","24339","7996","6433","83","5066","19","45","419","247","6823","79","5021","34","74","3362","1101","4671","101","3507","25","51","21459","8867","2977","46","2352","21","51","5497","1657","1133","13","885","11","21","174","151","14214","271","11398","38","124","11553","7036","2968","71","2076","25","51","847","587","5375","112","4224","20","80","3147","1510","4114","101","3256","16","50","2184","1068","826","18","671","1","12","5","2","5230","85","3948","22","56","700","251","6722","163","5132","31","94","63","39","3298","78","2349","23","67","1073","248","750","13","545","6","11","0","0","1358","14","1130","3","13","0","0"
"2020-08-21","9693","180","7561","34","83","1063","665","9091","174","7121","27","107","4621","2023","5606","128","4694","11","64","327","111","983","17","751","4","19","2","1","253","2","85","2","2","8","0","737","19","502","6","21","63","11","700","11","543","0","3","1319","757","518","3","400","1","6","0","0","2624","67","2012","11","45","3819","1320","5635","80","4051","8","44","3306","1586","274","7","213","2","6","20","2","2475","37","1855","8","31","1243","678","6930","111","5401","27","79","26772","10939","235","7","182","0","2","0","0","1235","8","934","5","8","1292","540","8996","198","6613","58","141","8304","4723","2595","27","2113","11","20","11608","5177","2244","49","1668","12","27","16","5","3576","77","2649","11","32","510","227","28294","576","21771","93","263","9302","4932","7147","110","5324","53","120","48805","17697","10827","237","7923","62","139","2903","1419","1277","25","941","8","24","5","1","891","12","711","2","5","8","6","3913","87","2468","22","63","24722","8257","6618","86","5199","20","46","441","255","6977","96","5129","32","74","3429","1118","4765","104","3573","27","53","21675","8963","3083","48","2445","21","52","5626","1697","1168","13","914","11","21","177","152","14673","275","11708","39","125","11883","7287","3046","71","2123","26","52","899","625","5489","114","4316","19","80","3376","1597","4226","103","3333","17","53","2336","1158","863","18","696","2","13","5","2","5383","87","4056","26","60","737","273","6839","166","5230","32","96","62","38","3383","81","2412","23","68","1143","282","771","15","557","6","11","0","0","1370","18","1143","3","15","0","0"
"2020-08-22","10004","185","7748","35","85","1081","680","9232","174","7240","27","107","4688","2057","5754","129","4776","11","64","360","120","1037","18","773","6","22","2","1","255","2","86","2","2","8","0","755","20","515","5","21","63","11","709","11","550","0","3","1515","862","533","3","410","2","7","0","0","2674","67","2051","11","45","3879","1341","5771","80","4154","7","44","3407","1635","286","7","218","2","6","20","2","2531","37","1895","7","31","1302","719","7105","112","5500","29","81","27299","11174","242","7","189","0","2","0","0","1269","11","960","5","8","1330","558","9163","200","6759","59","143","8394","4788","2647","29","2161","13","22","11771","5279","2302","50","1697","13","28","16","5","3678","78","2709","12","33","510","227","28891","584","22299","94","265","9441","5000","7356","118","5431","56","128","49953","18197","11019","235","8096","61","139","2995","1449","1326","25","974","8","24","5","1","918","16","723","3","6","8","6","4056","87","2567","22","63","25045","8458","6800","94","5322","21","48","470","271","7078","101","5217","34","78","3434","1119","4908","109","3663","27","55","21871","9043","3183","48","2516","22","53","5766","1742","1216","13","937","12","22","177","152","14958","275","11950","39","125","12072","7437","3118","72","2165","26","52","941","651","5582","118","4399","19","82","3479","1609","4324","104","3415","18","54","2436","1217","928","18","731","2","13","5","2","5534","90","4207","25","62","770","291","6955","167","5313","33","97","64","38","3443","82","2476","23","70","1157","283","793","16","564","6","11","0","0","1397","18","1157","3","15","0","0"
"2020-08-23","10111","196","7888","34","85","1082","680","9320","178","7332","27","107","4769","2095","5816","133","4867","11","64","360","120","1060","18","788","7","23","2","1","250","2","88","2","2","8","0","772","20","527","5","21","63","11","718","11","562","0","3","1608","917","535","3","423","2","7","0","0","2733","67","2101","11","45","3964","1399","5876","86","4272","7","44","3492","1671","288","7","222","2","6","20","2","2549","40","1944","6","31","1305","722","7166","121","5601","27","82","27337","11189","242","7","193","0","2","0","0","1293","12","983","5","9","1371","573","9281","200","6868","59","143","8497","4817","2672","29","2192","13","22","11800","5298","2330","52","1743","13","28","16","5","3732","78","2769","12","33","510","227","29273","590","22768","93","265","9540","5085","7457","120","5522","55","129","50292","18362","11141","264","8228","61","141","3066","1485","1355","25","1000","8","24","5","1","956","17","738","3","6","5","4","4099","87","2652","22","63","25126","8504","6858","94","5425","21","48","470","271","7154","102","5324","33","79","3436","1120","4978","111","3728","27","56","22088","9157","3240","48","2569","23","54","5898","1821","1245","13","957","12","22","187","162","15235","284","12207","38","125","12351","7604","3160","73","2211","26","52","972","678","5641","118","4454","19","82","3603","1648","4379","105","3473","18","54","2453","1225","947","18","747","3","14","5","2","5599","90","4279","25","62","770","291","7069","168","5405","33","98","64","38","3470","82","2530","24","71","1207","292","800","16","574","6","11","0","0","1407","18","1175","3","15","0","0"
