"Date","RecoveriesNational","RecoveriesCABA","RecoveriesBuenosAires","RecoveriesCatamarca","RecoveriesChaco","RecoveriesChubut","RecoveriesCordoba","RecoveriesCorrientes","RecoveriesEntreRios","RecoveriesFormosa","RecoveriesJujuy","RecoveriesLaPampa","RecoveriesLaRioja","RecoveriesMendoza","RecoveriesMisiones","RecoveriesNeuquen","RecoveriesRioNegro","RecoveriesSalta","RecoveriesSanJuan","RecoveriesSanLuis","RecoveriesSantaCruz","RecoveriesSantaFe","RecoveriesSantiagoDelEstero","RecoveriesTierraDelFuego","RecoveriesTucuman"
"2020-08-14","205682","55422","129485","58","3696","286","2676","197","983","77","3083","162","374","1606","43","1296","2094","370","20","29","664","1852","82","820","307"
"2020-08-15","211687","56466","133533","58","3732","305","2796","199","1013","77","3287","162","412","1699","45","1346","2206","400","20","29","701","1946","85","840","330"
"2020-08-16","217847","57629","137535","58","3775","317","2909","202","1058","77","3393","165","441","1834","45","1379","2329","435","20","29","753","2096","107","901","360"
"2020-08-17","223514","58509","141192","60","3834","330","3026","206","1125","78","3641","165","483","1988","45","1406","2429","483","20","29","781","2259","127","937","361""2020-08-17","223514","58509","141192","60","3834","330","3026","206","1125","78","3641","165","483","1988","45","1406","2429","483","20","29","781","2259","127","937","361"
"2020-08-18","228721","59291","144635","60","3892","341","3167","210","1178","78","3761","165","518","2093","45","1459","2517","529","22","30","814","2399","132","1003","382"
"2020-08-19","233647","60066","147868","59","3927","353","3338","216","1235","78","3861","167","527","2172","47","1486","2628","561","22","30","867","2529","154","1043","413"
"2020-08-20","239802","60977","151995","59","4002","369","3509","217","1297","78","3987","169","547","2300","46","1544","2729","608","22","30","896","2716","167","1090","448"
"2020-08-21","245777","61866","155728","59","4064","385","3665","217","1365","78","4187","173","579","2461","47","1605","2874","702","22","30","931","2908","194","1158","479"
"2020-08-22","251396","62745","159335","59","4119","396","3796","221","1425","78","4335","173","640","2597","47","1662","2946","796","22","30","947","3074","197","1233","523"
"2020-08-23","256785","63632","162484","59","4169","402","3960","222","1492","78","4569","174","723","2777","49","1718","3025","900","22","32","983","3228","223","1313","551"
"2020-08-24","263198","64640","166469","59","4213","411","4117","229","1553","79","4766","175","795","3035","50","1754","3154","977","23","32","1045","3442","249","1331","600"
"2020-08-25","268797","65504","169920","59","4273","426","4268","227","1624","80","4947","177","826","3217","49","1818","3266","1069","24","32","1062","3646","275","1351","657"
"2020-08-26","274454","66404","173476","59","4320","441","4390","231","1719","80","5122","179","865","3382","49","1870","3384","1141","24","33","1093","3834","307","1368","683"
"2020-08-27","280161","67259","176952","59","4362","456","4619","235","1803","80","5294","180","903","3501","49","1935","3506","1227","24","33","1127","4044","358","1416","739"
"2020-08-28","287216","68341","181215","59","4433","482","4783","245","1907","80","5505","182","971","3690","49","2009","3668","1379","24","34","1199","4343","367","1452","799"
