"Date","RecoveriesNational","RecoveriesCABA","RecoveriesBuenosAires","RecoveriesCatamarca","RecoveriesChaco","RecoveriesChubut","RecoveriesCordoba","RecoveriesCorrientes","RecoveriesEntreRios","RecoveriesFormosa","RecoveriesJujuy","RecoveriesLaPampa","RecoveriesLaRioja","RecoveriesMendoza","RecoveriesMisiones","RecoveriesNeuquen","RecoveriesRioNegro","RecoveriesSalta","RecoveriesSanJuan","RecoveriesSanLuis","RecoveriesSantaCruz","RecoveriesSantaFe","RecoveriesSantiagoDelEstero","RecoveriesTierraDelFuego","RecoveriesTucuman"
"2020-08-14","205682","55422","129485","58","3696","286","2676","197","983","77","3083","162","374","1606","43","1296","2094","370","20","29","664","1852","82","820","307"
"2020-08-15","211687","56466","133533","58","3732","305","2796","199","1013","77","3287","162","412","1699","45","1346","2206","400","20","29","701","1946","85","840","330"
"2020-08-16","217847","57629","137535","58","3775","317","2909","202","1058","77","3393","165","441","1834","45","1379","2329","435","20","29","753","2096","107","901","360"
"2020-08-17","223514","58509","141192","60","3834","330","3026","206","1125","78","3641","165","483","1988","45","1406","2429","483","20","29","781","2259","127","937","361""2020-08-17","223514","58509","141192","60","3834","330","3026","206","1125","78","3641","165","483","1988","45","1406","2429","483","20","29","781","2259","127","937","361"
"2020-08-18","228721","59291","144635","60","3892","341","3167","210","1178","78","3761","165","518","2093","45","1459","2517","529","22","30","814","2399","132","1003","382"
"2020-08-19","233647","60066","147868","59","3927","353","3338","216","1235","78","3861","167","527","2172","47","1486","2628","561","22","30","867","2529","154","1043","413"
"2020-08-20","239802","60977","151995","59","4002","369","3509","217","1297","78","3987","169","547","2300","46","1544","2729","608","22","30","896","2716","167","1090","448"
"2020-08-21","245777","61866","155728","59","4064","385","3665","217","1365","78","4187","173","579","2461","47","1605","2874","702","22","30","931","2908","194","1158","479"
"2020-08-22","251396","62745","159335","59","4119","396","3796","221","1425","78","4335","173","640","2597","47","1662","2946","796","22","30","947","3074","197","1233","523"
"2020-08-23","256785","63632","162484","59","4169","402","3960","222","1492","78","4569","174","723","2777","49","1718","3025","900","22","32","983","3228","223","1313","551"
"2020-08-24","263198","64640","166469","59","4213","411","4117","229","1553","79","4766","175","795","3035","50","1754","3154","977","23","32","1045","3442","249","1331","600"
"2020-08-25","268797","65504","169920","59","4273","426","4268","227","1624","80","4947","177","826","3217","49","1818","3266","1069","24","32","1062","3646","275","1351","657"
"2020-08-26","274454","66404","173476","59","4320","441","4390","231","1719","80","5122","179","865","3382","49","1870","3384","1141","24","33","1093","3834","307","1368","683"
"2020-08-27","280161","67259","176952","59","4362","456","4619","235","1803","80","5294","180","903","3501","49","1935","3506","1227","24","33","1127","4044","358","1416","739"
"2020-08-28","287216","68341","181215","59","4433","482","4783","245","1907","80","5505","182","971","3690","49","2009","3668","1379","24","34","1199","4343","367","1452","799"
"2020-08-30","301191","70376","189630","59","4548","538","5120","248","2119","79","5940","185","1082","4155","49","2161","3997","1629","38","37","1346","4923","443","1512","977"
"2020-08-31","308372","71420","193970","59","4595","576","5329","251","2234","80","6224","187","1107","4390","49","2254","4083","1765","39","37","1415","5221","478","1529","1080"
"2020-09-02","322457","73362","202519","59","4695","641","5802","257","2510","80","6608","189","1156","4821","49","2416","4334","1929","66","38","1502","5967","594","1555","1308"
"2020-09-04","340377","75795","213074","59","4845","752","6395","276","2819","81","7089","192","1191","5515","51","2625","4657","2327","114","38","1639","6920","688","1570","1665"
"2020-09-06","357384","78075","222688","61","4970","856","7115","281","3052","81","7727","198","1250","6310","53","2847","4940","2660","186","40","1755","7801","776","1631","2031"
"2020-09-07","366586","79108","227961","62","5065","909","7508","303","3143","81","8020","201","1309","6643","57","2954","5092","2889","196","48","1799","8477","828","1671","2262"
"2020-09-08","374012","80033","232106","64","5150","940","7802","308","3227","81","8260","201","1324","7019","57","3086","5214","3054","206","70","1858","8908","887","1684","2473"
"2020-09-09","27195","6578","14683","55","1254","39","313","112","339","77","556","7","193","577","41","311","575","421","17","16","149","436","113","150","183"
"2020-09-10","27567","6637","14877","55","1263","40","316","120","344","77","559","7","197","609","40","312","579","456","17","16","157","438","116","152","183"
"2020-09-11","27899","6685","15048","55","1275","40","321","127","350","77","565","7","204","632","41","313","584","486","17","16","160","442","118","153","183"
"2020-09-12","28224","6727","15231","55","1277","40","322","129","360","77","570","7","206","653","41","313","588","523","17","17","168","448","119","153","183"
"2020-09-14","28708","6803","15525","55","1287","40","327","137","362","77","577","7","208","690","41","313","598","539","17","15","169","462","116","155","188"
"2020-09-15","29008","6833","15686","56","1295","40","331","139","365","77","586","7","217","718","40","314","603","550","17","15","176","473","118","155","197"
"2020-09-16","29317","6879","15856","57","1302","40","335","142","372","77","590","7","226","737","40","314","610","557","22","15","181","478","120","154","206"
"2020-09-17","29659","6922","16042","58","1307","40","335","149","384","77","600","7","228","760","39","315","611","573","41","17","186","486","120","154","208"
